Project Name,Place,Longitude,Latitude,Price,Standing,State,Delivery,Advertiser,Advertiser Phone
Résidence El Yassamine,Bernoussi à Casablanca,-7.480355685654416,33.61040882133904,À partir de 500 000 DH,Moyen standing,Finalisé,,Groupe Ikamati - Projet Al Yassamine,05 22 68 54 64
Marina Casablanca,Casablanca Marina à Casablanca,-7.622264889522029,33.60779236964408,Prix à consulter,Haut standing,Finalisé,,CGI,08 01 00 28 28
Résidence Ritaj,Californie à Casablanca,-7.6073455810546875,33.528212649311286,"Prix à consulter
14 000DH / m²",Haut standing,Finalisé,,Résidence Ritaj Californie,06 77 73 25 51
Salabel,Bernoussi à Casablanca,-7.501645088195801,33.61726394078692,À partir de 695 500 DH,Haut standing,En cours de construction,,Groupe Ben Masoud,06 62 08 29 59
Les Perles de Californie,Californie à Casablanca,-7.61686294701451,33.5320075462679,"Prix à consulter
14 000DH / m²",Haut standing,Finalisé,,Groupe Boudrika,06 61 48 30 98
Siyame la Gironde 2,La Gironde à Casablanca,-7.600350379943876,33.58398549300015,"À partir de 400 000 DH
11 500DH / m²",Haut standing,En cours de construction,,Siyame La Gironde 2,06 60 51 45 32
Résidence Lilya,Ain Chock à Casablanca,-7.591745730713285,33.52903704922011,À partir de 858 000 DH,Haut standing,Finalisé,,Résidence Lilya (HBSC),06 43 11 40 86
Résidence La Cazelle,Oasis à Casablanca,-7.630550654460251,33.56008065502006,"À partir de 1 500 000 DH
16 000DH / m²",Haut standing,Finalisé,,Cazelle,06 00 09 39 36
Central Square Hay Hassani,Hay Hassani à Casablanca,-7.676696777343977,33.56569654125377,"À partir de 1 055 000 DH
11 250DH / m²",Haut standing,En cours de construction,,Immo value Partners,06 62 70 55 02
Résidence Bellevue Californie,Mandarona à Casablanca,-7.6104610739091925,33.52592039044466,"À partir de 1 255 500 DH
15 500DH / m²",Haut standing,Finalisé,,Résidence Bellevue,06 00 33 74 33
Résidence la Forêt,Hay Moulay Rachid 1 à Casablanca,-7.538629746102288,33.568182893519676,À partir de 550 000 DH,Moyen standing,Finalisé,,Société Immobilière Al Fayçalia,06 61 75 41 26
Le Dôme de Marjane,Hay Hassani à Casablanca,-7.676782714719138,33.56643233607686,À partir de 970 000 DH,Haut standing,Finalisé,,Hadimo Immobilier,06 28 57 94 22
Résidence Emerald ll,Californie à Casablanca,-7.601916790008914,33.53706646625782,Prix à consulter,Haut standing,Finalisé,,Vicensa,06 05 27 39 38
Canton Plaza,Foncière à Casablanca,-7.606873512267896,33.5894732103214,À partir de 750 000 DH,Haut standing,En cours de construction,,MANAFIE PROPRETIES - Projet Canton Plaza,06 65 62 88 40
Résidence Platinia,Benjdia à Casablanca,-7.610499218457676,33.587400014123745,"À partir de 725 000 DH
14 000DH / m²",Haut standing,Finalisé,,Med Immeuble,06 61 46 44 35
